latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
4.4,80883,,,LKH,,
25.08,80883,"[(0, 870, 0, 1320), (1740, 2610, 2300, 3589)]",262.0,fast_thinking,80883.0,SubTSP‑80883
42.15,80844,"[(950, 1900, 900, 2820)]",492.0,reasoning,80883.0,SubTSP‑80883
63.89,80804,"[(870, 2610, 1320, 2300)]",452.0,fast_thinking,80883.0,SubTSP‑80844
66.13,80800,"[(0, 870, 1320, 3589), (3480, 4782, 0, 3589)]",362.0,fast_thinking,80844.0,SubTSP‑80804
82.38,80800,"[(2610, 3480, 900, 2100), (0, 950, 1320, 2820)]",328.0,fast_thinking,80844.0,SubTSP‑80800
83.83,80762,"[(870, 1740, 0, 1320)]",139.0,fast_thinking,80800.0,SubTSP‑80800
107.77,80762,"[(0, 870, 0, 1320), (900, 2100, 1320, 2100)]",282.0,fast_thinking,80762.0,SubTSP‑80762
126.65,80722,"[(950, 1740, 1320, 2820)]",327.0,fast_thinking,80762.0,SubTSP‑80762
141.48,80722,"[(950, 1740, 1320, 2820), (0, 950, 0, 1320)]",373.0,fast_thinking,80762.0,SubTSP‑80722
148.5,80722,"[(2610, 4782, 0, 1320), (1740, 3480, 2820, 3589)]",385.0,fast_thinking,80722.0,SubTSP‑80722
156.65,80722,"[(1740, 2610, 0, 1320), (3480, 4782, 1320, 2820)]",294.0,fast_thinking,80722.0,SubTSP‑80722
174.74,80722,"[(0, 1740, 1320, 2820), (3480, 4782, 2820, 3589)]",456.0,fast_thinking,80722.0,SubTSP‑80722
178.68,80715,"[(0, 1740, 0, 1320)]",171.0,fast_thinking,80722.0,SubTSP‑80722
182.15,80715,"[(0, 900, 1320, 2820), (3480, 4782, 2820, 3589)]",112.0,fast_thinking,80722.0,SubTSP‑80715
189.25,80704,"[(350, 1300, 600, 2800)]",322.0,reasoning,80722.0,SubTSP‑80715
224.79,80704,"[(1000, 2500, 1350, 1650), (0, 1740, 0, 1320)]",255.0,fast_thinking,80704.0,SubTSP‑80704
241.72,80704,"[(1300, 2150, 700, 1800), (2100, 2650, 900, 2500)]",455.0,reasoning,80704.0,SubTSP‑80704
247.69,80704,"[(3200, 4782, 0, 1320), (0, 900, 0, 1320)]",147.0,fast_thinking,80704.0,SubTSP‑80704
262.63,80700,"[(1000, 2550, 1350, 1700)]",125.0,fast_thinking,80704.0,SubTSP‑80704
265.36,80700,"[(0, 900, 2820, 3589), (3480, 4782, 0, 1320)]",82.0,fast_thinking,80704.0,SubTSP‑80700
272.48,80700,"[(900, 2650, 2820, 3589), (1740, 3200, 0, 1320)]",419.0,fast_thinking,80700.0,SubTSP‑80700
