latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
1.6,51112,,,LKH,,
351.78,51112,"[(50, 1250, 600, 3050), (1300, 2700, 600, 2500)]",847.0,fast_thinking,51112.0,SubTSP‑51112
352.34,51112,"[(0, 3960, 0, 599)]",1.0,fast_thinking,51112.0,SubTSP‑51112
352.56,51112,"[(0, 2499, 0, 799), (2401, 3960, 2301, 3064)]",100.0,reasoning,51112.0,SubTSP‑51112
353.96,51071,"[(2350, 3960, 1500, 3064)]",278.0,fast_thinking,51112.0,SubTSP‑51112
540.27,51071,"[(50, 1400, 600, 3064), (1401, 2749, 700, 2800)]",968.0,fast_thinking,51112.0,SubTSP‑51071
541.93,51071,"[(0, 1900, 0, 590)]",1.0,reasoning,51112.0,SubTSP‑51071
542.44,51071,"[(0, 2100, 0, 599)]",1.0,fast_thinking,51112.0,SubTSP‑51071
682.66,51071,"[(0, 1950, 600, 3064), (2050, 3960, 600, 3064)]",1206.0,reasoning,51112.0,SubTSP‑51071
779.34,51019,"[(50, 2000, 600, 3050)]",626.0,fast_thinking,51112.0,SubTSP‑51071
981.18,51019,"[(0, 1600, 0, 699)]",1.0,fast_thinking,51112.0,SubTSP‑51019
